artist_id,p3_id
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
90,89
91,90
92,91
93,92
95,93
96,94
97,95
98,96
99,97
100,98
101,99
102,100
103,101
104,102
105,103
106,104
109,105
110,106
111,107
112,108
113,109
114,110
115,111
116,112
118,113
119,114
120,115
121,116
122,117
123,118
124,119
127,120
128,121
129,122
130,123
131,124
132,125
133,126
136,127
137,128
138,129
139,130
140,131
141,132
142,133
143,134
144,135
145,136
148,137
149,138
150,139
151,140
153,141
154,142
155,143
156,144
157,145
158,146
159,147
160,148
161,149
162,150
163,151
165,152
166,153
168,154
169,155
171,156
172,157
173,158
174,159
175,160
177,161
178,162
180,163
181,164
184,165
185,166
186,167
187,168
189,169
190,170
191,171
192,172
194,173
197,174
198,175
199,176
200,177
201,178
202,179
203,180
204,181
205,182
206,183
207,184
208,185
210,186
211,187
212,188
213,189
215,190
216,191
217,192
218,193
219,194
220,195
221,196
222,197
223,198
224,199
225,200
227,201
228,202
229,203
231,204
235,205
236,206
237,207
238,208
239,209
240,210
241,211
243,212
244,213
245,214
246,215
248,216
249,217
250,218
253,219
254,220
255,221
258,222
260,223
261,224
262,225
263,226
264,227
265,228
268,229
269,230
271,231
272,232
273,233
274,234
275,235
276,236
278,237
279,238
281,239
282,240
283,241
284,242
285,243
286,244
287,245
289,246
290,247
291,248
292,249
293,250
294,251
295,252
297,253
298,254
299,255
300,256
301,257
302,258
304,259
305,260
308,261
309,262
310,263
312,264
313,265
314,266
315,267
316,268
318,269
319,270
321,271
322,272
323,273
326,274
328,275
329,276
330,277
331,278
332,279
334,280
335,281
337,282
339,283
341,284
342,285
343,286
345,287
346,288
347,289
348,290
349,291
350,292
351,293
352,294
354,295
355,296
356,297
357,298
358,299
359,300
360,301
363,302
364,303
365,304
366,305
367,306
368,307
369,308
370,309
371,310
372,311
374,312
375,313
377,314
378,315
379,316
380,317
381,318
382,319
383,320
385,321
387,322
388,323
389,324
390,325
393,326
394,327
396,328
397,329
398,330
400,331
401,332
403,333
404,334
406,335
409,336
411,337
412,338
413,339
416,340
417,341
419,342
420,343
425,344
426,345
427,346
428,347
429,348
430,349
431,350
434,351
435,352
436,353
438,354
440,355
441,356
442,357
443,358
446,359
447,360
449,361
452,362
453,363
455,364
456,365
458,366
459,367
460,368
461,369
462,370
464,371
467,372
468,373
469,374
471,375
472,376
475,377
477,378
478,379
481,380
482,381
485,382
486,383
487,384
488,385
489,386
490,387
491,388
493,389
494,390
495,391
496,392
497,393
498,394
499,395
500,396
501,397
502,398
504,399
505,400
508,401
511,402
515,403
517,404
519,405
520,406
521,407
522,408
524,409
525,410
526,411
527,412
529,413
530,414
531,415
534,416
535,417
537,418
538,419
541,420
542,421
543,422
544,423
546,424
548,425
551,426
552,427
556,428
557,429
558,430
559,431
560,432
561,433
562,434
563,435
565,436
567,437
568,438
569,439
571,440
573,441
575,442
578,443
579,444
582,445
583,446
584,447
586,448
588,449
591,450
592,451
593,452
594,453
596,454
597,455
599,456
600,457
601,458
602,459
604,460
605,461
606,462
607,463
612,464
613,465
614,466
617,467
618,468
620,469
621,470
623,471
627,472
628,473
629,474
631,475
634,476
640,477
642,478
643,479
646,480
647,481
648,482
649,483
652,484
654,485
656,486
662,487
663,488
667,489
668,490
669,491
670,492
671,493
672,494
673,495
674,496
675,497
676,498
677,499
679,500
682,501
684,502
686,503
687,504
688,505
689,506
691,507
692,508
694,509
695,510
696,511
697,512
698,513
699,514
700,515
704,516
705,517
706,518
707,519
710,520
711,521
714,522
716,523
717,524
719,525
721,526
725,527
726,528
729,529
731,530
733,531
736,532
740,533
747,534
748,535
749,536
752,537
753,538
754,539
755,540
756,541
757,542
759,543
760,544
764,545
765,546
768,547
769,548
770,549
772,550
774,551
775,552
778,553
779,554
780,555
783,556
787,557
788,558
789,559
790,560
793,561
794,562
796,563
798,564
800,565
801,566
802,567
804,568
806,569
810,570
811,571
815,572
816,573
817,574
820,575
821,576
822,577
826,578
827,579
828,580
830,581
831,582
832,583
837,584
838,585
839,586
840,587
841,588
842,589
843,590
844,591
846,592
847,593
848,594
849,595
850,596
853,597
854,598
855,599
857,600
859,601
861,602
870,603
874,604
875,605
877,606
878,607
882,608
883,609
886,610
889,611
893,612
894,613
895,614
897,615
899,616
900,617
905,618
907,619
909,620
910,621
914,622
915,623
920,624
921,625
922,626
924,627
925,628
926,629
927,630
930,631
931,632
936,633
937,634
939,635
941,636
942,637
944,638
945,639
946,640
947,641
948,642
949,643
950,644
951,645
952,646
954,647
957,648
960,649
961,650
962,651
963,652
964,653
965,654
966,655
967,656
970,657
971,658
972,659
974,660
975,661
981,662
982,663
983,664
984,665
988,666
991,667
993,668
994,669
995,670
997,671
999,672
